id;tipo_cuenta_ca_pesos;tipo_cuenta_ca_dolar;tipo_cuenta_cc_pesos;sexocodi;estcivil;edad;plataforma_emp_um;usa_plataforma_u3m;ingr_prom_u6m;capita;grupo_cliente;subgrupo;relacion;fum;segmento_sueldos;segmento_bancas;es_capita;tiene_i_cbesa;tiene_i_cs;tiene_i_pr_hip;tiene_i_pr_pers;tiene_i_prep;tiene_i_se_patr;tiene_i_visa;tiene_i_tj_soc;tiene_e_ac_cc;tiene_e_fact;saldo_computo_sist_fci;tiene_e_liq_com;tiene_i_seg_vida;tiene_e_tc_agro;tiene_e_tc_corpo;tiene_e_tc_flota;saldo_computo_sist_2;saldo_computo_sist_ca_p;saldo_computo_cj;cross_empr;cross_ind;saldo_computo_sist_cc_p;saldo_computo_sist_cc_mb;transferencia_recibida;extraccion;cobro;transferencia_enviada;operatoria;pago;acreditacion;deposito;rescate;suscripcion;levantamiento;credito_acreditacion_haberes;credito_pago_bonificacion_por_promocion;credito_pago_programa_social;debito_transferencia_enviada_homebanking;credito_transferencia_recibida_simple;credito_transferencia_recibida_homebanking;debito_transferencia_enviada_atm_no_propio;credito_pago_cheque_pago_diferido;debito_operatoria_int._sldo_deudor;credito_transferencia_recibida_modo;debito_cobro_deuda_bancor;credito_rescate_titulos_fci;debito_cobro_locacion_caja_de_seguridad;credito_transferencia_recibida_ach;debito_extraccion_back_office_por_cierre_de_cuenta;debito_cobro_plazo_fijo;credito_pago_prestamo;debito_cobro_transporte;credito_pago_plazo_fijo;debito_transferencia_enviada_otras;credito_transferencia_recibida_atm;credito_deposito_atm_propio;debito_operatoria_resumen;credito_transferencia_recibida_debin;credito_pago_honorarios;credito_pago_fondo_compensador;credito_deposito_atm_no_propio;credito_operatoria_impuesto;debito_transferencia_enviada_ach;debito_transferencia_enviada_debin;debito_cobro_compras_en_el_exterior;credito_transferencia_recibida_credin;debito_pago_atm_no_propio;debito_transferencia_enviada_modo;credito_pago_titulos_fci;debito_transferencia_enviada_cuenta_vinculada;credito_operatoria_intereses;credito_deposito_intersucursal;credito_pago_liquidacion_caja_jubilaciones;credito_levantamiento__embargo;debito_operatoria_impuesto;debito_cobro_otros_servicios;credito_operatoria_ajuste;debito_operatoria_intereses;debito_operatoria_adelanto_de_haberes;credito_pago_seguro_desempleo;debito_cobro_tarjeta_credito;credito_transferencia_recibida_proveedor;credito_pago_liquidacion_comercio;credito_operatoria_cancelacion_adel_hab;debito_cobro_agencia_loteria;debito_cobro_compras;debito_cobro_prestamo;debito_extraccion_atm_propio;credito_deposito_cheque;debito_extraccion_efectivo;debito_transferencia_enviada_simple;debito_operatoria_custodia;debito_cobro_seguros;debito_transferencia_enviada_ipj;debito_extraccion_atm_no_propio;debito_operatoria_ajuste;debito_operatoria_mantenimiento;debito_suscripcion_titulos_fci;debito_operatoria_comision;credito_deposito_en_efectivo;credito_acreditacion_plan_social;debito_cobro_titulos_fci;debito_cobro_liquidacion_a_comercio;debito_cobro_cheque;credito_transferencia_recibida_mep;debito_operatoria_gastos;debito_cobro_embargo;
11;Cuenta de la Seguridad Social;;;M;Soltero/a;68;0;NO;307223;PROPIA;I4;Sueldo;TIT;20241130;JUBILADOS ANSES;JUBILADOS ANSES;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1080000,00;913990.44;0,00;1,00;3,00;0,00;0,00;4,00;25,00;11,00;1,00;2,00;2,00;1,00;69,00;;;;;;;;;;;;;;;;;174715.15;;1000000,00;;;1441616.44;;;2420000,00;;;;;;;24070,00;;;;;;;;77.61;;;;;;;;;;;;;;2111796.17;;;870000,00;;;;;;;;;;;;;312418.09;;;;;;;
12;;;;M;Soltero/a;66;0;NO;10546;NO;I8;Publico General;TIT;20200908;JUBILADOS ANSES;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;54.33;0,00;0,00;1,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Cuenta de la Seguridad Social;;;M;Soltero/a;68;0;NO;257097;PROPIA;I4;Sueldo;TIT;20241130;JUBILADOS ANSES;JUBILADOS ANSES;1;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9147.21;0,00;0,00;3,00;0,00;0,00;;6,00;1,00;;3,00;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.69;;;;2289,00;;;;;;;;;;;;47193.26;201000,00;;;;;;;;;10900,00;;;;261478.36;;;;;;;
14;;;;M;Soltero/a;68;0;NO;349999;NO;I5;Monotributista;TIT;20241130;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;792956.32;0,00;0,00;2,00;1,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Cuenta Sueldo;;;M;Soltero/a;68;0;SI;2309776;PROPIA;I4;Sueldo;TIT;20241129;SUELDO ADM PUBL RESTO;SUELDO ADM PUBL RESTO;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1300905.63;0,00;0,00;4,00;0,00;0,00;7,00;;29,00;10,00;8,00;;1,00;;;;;2379772.89;;;5559153,00;;2952847.9;;;;;;;;;;;;;;;;;99337.9;;;;;;146831.76;;;;;;;;295.66;;;;40624.89;130550,00;;;;;756105.01;;;;;132242.41;;;;;;;;;;;;;;;;;;;;;;
16;Cuenta Sueldo;;;M;Casado/a;68;0;SI;434315;PROPIA;I4;Sueldo;TIT;20241130;SUELDO ADM PUBL RESTO;SUELDO ADM PUBL RESTO;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1744210.31;53712.36;0,00;1,00;4,00;0,00;0,00;1,00;18,00;1,00;;1,00;;1,00;;;;;559852.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15000,00;;;;;2.23;;;;;;;;;;32044,00;;;;;;;543000,00;;;;;;;;;;;;;;;;;;;;
17;Cuenta de la Seguridad Social;;;M;Soltero/a;66;0;NO;368663;PROPIA;I4;Sueldo;TIT;20241129;JUBILADOS ANSES;JUBILADOS ANSES;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19.75;0,00;0,00;2,00;0,00;0,00;1,00;9,00;;1,00;1,00;;1,00;;;;;;;;77000,00;;20000,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;320000,00;;;;;;;;;;;;;377296.07;;;;;;;
18;;;;M;Soltero/a;66;0;NO;5000;NO;I6;Con producto  Social;TIT;20200922;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0.52;0,00;0,00;1,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Caja Ahorro Jubilado Provincia;;;M;Soltero/a;68;0;SI;348645;PROPIA;I4;Sueldo;TIT;20241130;JUBILADOS PROVINCIA;JUBILADOS PROVINCIA;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1730000,00;317300.28;0,00;1,00;4,00;0,00;0,00;;3,00;1,00;;1,00;2,00;1,00;;;;;366652.03;;;;;;;;;;;;;;;1800000,00;;;1543150.68;;;;;;;;;;;;;;;;;;21.02;;;;;;;;;;;;;;;;;100000,00;;;;;;;;;;;;;;;;;;;;
20;Cuenta de la Seguridad Social;;Adelanto de Haberes;M;Soltero/a;67;0;SI;359523;PROPIA;I4;Sueldo;TIT;20241129;JUBILADOS ANSES;JUBILADOS ANSES;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;66.58;0,00;0,00;2,00;0,00;0,00;;1,00;;;5,00;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.7;;;;815.95;;;3885.47;4701.42;;;;;4701.42;;;;;;363000,00;;;;;;;;;;;367692.63;;;;;;;
21;Cuenta de la Seguridad Social;;;M;Soltero/a;66;0;NO;267049;PROPIA;I4;Sueldo;TIT;20241108;JUBILADOS ANSES;JUBILADOS ANSES;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29.21;0,00;0,00;2,00;0,00;0,00;;1,00;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;270800,00;;;;;;;;;;;270770.18;;;;;;;
22;Cuenta de la Seguridad Social;;;M;Soltero/a;66;0;SI;421133;PROPIA;I4;Sueldo;TIT;20241114;JUBILADOS ANSES;JUBILADOS ANSES;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7909.66;0,00;0,00;3,00;0,00;0,00;;1,00;2,00;;1,00;;2,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;;;;;;;;;;128643.32;;;;;;;;;230500,00;;;;;;;;;;;358806.44;;;;;;;
23;Cuenta de la Seguridad Social;;;M;Soltero/a;67;0;NO;375535;PROPIA;I4;Sueldo;TIT;20241128;JUBILADOS ANSES;JUBILADOS ANSES;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;190551.98;0,00;0,00;3,00;0,00;0,00;;12,00;1,00;;1,00;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.07;;;;;;;;;;;;;;;44418.56;;326000,00;;;;;;;;;;;;;383408.44;;;;;;;
24;Cuenta de la Seguridad Social;;;M;Soltero/a;66;0;NO;385188;PROPIA;I4;Sueldo;TIT;20241130;JUBILADOS ANSES;JUBILADOS ANSES;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4616038.79;2220070.45;0,00;1,00;3,00;0,00;0,00;;8,00;1,00;;2,00;2,00;1,00;;;;;;;;;;;;;;;;;;;;11153350.72;;;11153321.02;;;;;;;;;;;;;;;;;;60.39;;;;;;;;;;;;;;;;;300000,00;;;;;;;;;;;;;259247.58;;;;;;;
25;;;;M;Soltero/a;71;0;NO;11729;NO;I8;Publico General;TIT;20210917;JUBILADOS ANSES;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;53.07;0,00;0,00;1,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Caja Ahorro Comun;;;M;Soltero/a;71;0;NO;117896;NO;I5;Monotributista;TIT;20170731;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;144.12;0,00;0,00;1,00;0,00;0,00;;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Acreditacion Admin Publica / Otra;;;M;Casado/a;71;0;SI;376919;PROPIA;I4;Sueldo;TIT;20241129;SUELDO ADM PUBL RESTO;SUELDO ADM PUBL RESTO;1;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1107856.81;0,00;0,00;4,00;0,00;0,00;6,00;;13,00;11,00;1,00;;1,00;;;;;393084.68;;;913320,00;;261555.9;;;;;;;;;;;;;;;;;;;;;;;;;;286555.9;;;;;92.24;;;;;;;;;;;322111.59;;;;861994.05;;;;;;;;;;;;;;;;;;;;;;
28;Cuenta de la Seguridad Social;;;M;Soltero/a;71;0;NO;260714;PROPIA;I4;Sueldo;TIT;20241111;JUBILADOS ANSES;JUBILADOS ANSES;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;529.08;0,00;0,00;2,00;0,00;0,00;;1,00;;;1,00;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.76;;;;;;;;;;;;;;;;;;;266000,00;;;;;;;;;;;266171.62;;;;;;;
29;Caja Ahorro Comun;;;M;Soltero/a;70;0;SI;281926;PROPIA;I4;Sueldo;TIT;20241129;JUBILADOS ANSES;JUBILADOS ANSES;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;912537.81;0,00;0,00;4,00;0,00;0,00;9,00;;19,00;11,00;4,00;;1,00;;;;;;;;324800,00;;552300,00;;;;;;;;;;;;;;;;;;;;;;;;75000,00;;;;;;;73.84;;;;1365,00;;;;;;167696.67;;;;;256606.74;;;;;;;;;;;6500,00;;;;287509.26;;;;;;;
30;Caja Ahorro Comun;;;M;Soltero/a;70;0;SI;349999;NO;I8;Publico General;TIT;20241104;OTROS;OTROS;0;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7334.54;0,00;0,00;2,00;0,00;0,00;1,00;;;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;999,00;;;;;0.55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Caja Ahorro Jubilado Provincia;;Adelanto de Haberes;M;Soltero/a;70;0;SI;1052571;PROPIA;I4;Sueldo;TIT;20241130;JUBILADOS PROVINCIA;JUBILADOS PROVINCIA;1;1,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;196670.49;0,00;0,00;6,00;0,00;73.67;3,00;;8,00;5,00;7,00;;1,00;;;;;1174819.38;;;750000,00;;300000,00;;;8760.14;;;;;;;;;;;;;;;400000,00;;;;;;100000,00;;;;;;;17.1;;;;4359.63;;;;200000,00;;610833.97;;;200000,00;;10980,00;211946.16;;;;;;;;;;12000,00;;;;;;;;;;;
32;Caja Ahorro Comun;;;M;Soltero/a;70;0;SI;117896;NO;I5;Monotributista;TIT;20241122;OTROS;OTROS;0;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;40564.13;0,00;0,00;2,00;0,00;0,00;2,00;;;1,00;2,00;;;;;;;;;;3712.9;;262500,00;;;;;;;;;;;;;;;;;221650,00;;;;;;;;;;;;;;2.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Cuenta de la Seguridad Social;;;M;Soltero/a;70;0;NO;261813;PROPIA;I4;Sueldo;TIT;20241119;JUBILADOS ANSES;JUBILADOS ANSES;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3842257.43;0,00;0,00;2,00;0,00;0,00;;;;;1,00;;1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;305.88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;266171.62;;;;;;;
34;Cuenta de la Seguridad Social;;Adelanto de Haberes;M;Soltero/a;70;0;SI;263775;PROPIA;I4;Sueldo;TIT;20241130;JUBILADOS ANSES;JUBILADOS ANSES;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5179.91;0,00;0,00;3,00;0,00;0,00;2,00;6,00;2,00;2,00;13,00;;1,00;;;;;;;;100000,00;;;;;1726.86;;;;;;;;;;;;60000,00;;;;;;;40000,00;;;;;;;;;0.64;;;;1262.64;;;;40240,00;;276338.25;100000,00;;40240,00;;;;120000,00;;;;;;;;;;;;;266171.62;;;;;;;
35;;;;M;Casado/a;70;0;NO;117896;NO;I5;Monotributista;TIT;0;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Cuenta de la Seguridad Social;;Adelanto de Haberes;M;Soltero/a;70;0;NO;230590;PROPIA;I4;Sueldo;TIT;20241129;SUELDO ADM PUBL RESTO;SUELDO ADM PUBL RESTO;1;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;76713.23;0,00;0,00;2,00;0,00;0,00;;5,00;5,00;1,00;6,00;;2,00;;;;;;;;;;;;;1387.68;;;;;;;;;1200,00;;;;;;;;;;;;30000,00;;;;;;;8.49;;;;531.41;;;;40240,00;;;;;40240,00;;51895.3;;120000,00;;70000,00;;;;;;;;;;;243280.74;;;;;;;
37;Caja Ahorro Comun;;;M;Soltero/a;70;0;SI;358816;NO;I5;Monotributista;TIT;20241130;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;863333.33;36332.43;0,00;1,00;2,00;0,00;0,00;;1,00;1,00;;1,00;2,00;;;;;;;;;;;;;;;;;;;;;800000,00;;;925890.41;;;;;;;;;;;;;;;;;;1.86;;;;;;;;;;;;;;;;;30000,00;;;;;;;;;;;;;;;;;;;;
38;;;;M;Soltero/a;70;0;SI;117896;NO;I5;Monotributista;ADI;0;OTROS;OTROS;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
